鄞 B-location
州 I-location
区 I-location
综 O
合 O
行 O
政 O
执 O
法 O
局 O
紧 O
盯 O
重 O
点 O
区 O
域 O
、 O
重 O
点 O
环 O
节 O
、 O
重 O
点 O
岗 O
位 O
， O
强 O
化 O
燃 O
气 O
安 O
全 O
监 O
管 O
， O
长 O
效 O
遏 O
制 O
燃 O
气 O
安 O
全 O
事 O
故 O
一 O
是 O
紧 O
盯 O
重 O
点 O
区 O
域 O
， O
严 O
打 O
“ O
燃 O
气 O
黄 O
牛 O
” O
针 O
对 O
“ O
黄 O
牛 O
” O
非 O
法 O
储 O
存 O
燃 O
气 O
、 O
倒 O
灌 O
燃 O
气 O
等 O
危 O
害 O
公 O
共 O
安 O
全 O
非 O
法 O
行 O
为 O
， O
配 O
合 O
公 O
安 O
、 O
市 O
监 O
、 O
属 O
地 O
镇 O
街 O
等 O
部 O
门 O
开 O
展 O
联 O
合 O
整 O
治 O
行 O
动 O
， O
滚 O
动 O
式 O
排 O
查 O
拆 O
迁 O
地 O
块 O
、 O
“ O
破 O
烂 O
王 O
” O
聚 O
集 O
场 O
所 O
、 O
偏 O
僻 O
地 O
段 O
等 O
易 O
隐 O
藏 O
非 O
法 O
气 O
瓶 O
的 O
区 O
域 O
， O
严 O
肃 O
处 O
理 O
燃 O
气 O
领 O
域 O
非 O
法 O
行 O
为 O
截 O
至 O
目 O
前 O
， O
排 O
查 O
发 O
现 O
并 O
移 O
交 O
公 O
安 O
部 O
门 O
处 O
理 O
非 O
法 O
存 O
储 O
燃 O
气 O
危 O
害 O
公 O
共 O
安 O
全 O
行 O
为 O
2 O
起 O
二 O
是 O
紧 O
盯 O
重 O
点 O
环 O
节 O
， O
严 O
管 O
“ O
用 O
气 O
环 O
境 O
” O
强 O
力 O
推 O
进 O
用 O
气 O
环 O
境 O
整 O
改 O
， O
由 O
局 O
分 O
管 O
领 O
导 O
带 O
队 O
开 O
展 O
用 O
气 O
环 O
境 O
检 O
查 O
， O
每 O
周 O
随 O
机 O
抽 O
查 O
燃 O
气 O
用 O
户 O
， O
了 O
解 O
入 O
户 O
安 O
检 O
、 O
气 O
瓶 O
实 O
名 O
、 O
安 O
全 O
科 O
普 O
等 O
工 O
作 O
落 O
实 O
情 O
况 O
， O
检 O
查 O
发 O
现 O
的 O
问 O
题 O
现 O
场 O
指 O
导 O
用 O
户 O
整 O
改 O
， O
并 O
同 O
步 O
约 O
谈 O
供 O
气 O
企 O
业 O
落 O
实 O
主 O
体 O
责 O
任 O
， O
因 O
供 O
气 O
企 O
业 O
违 O
法 O
行 O
为 O
导 O
致 O
用 O
户 O
存 O
在 O
燃 O
气 O
安 O
全 O
隐 O
患 O
的 O
行 O
为 O
直 O
接 O
移 O
交 O
执 O
法 O
截 O
至 O
目 O
前 O
， O
开 O
展 O
燃 O
气 O
用 O
户 O
随 O
机 O
检 O
查 O
1 O
6 O
次 O
， O
查 O
处 O
供 O
气 O
企 O
业 O
违 O
法 O
行 O
为 O
1 O
0 O
起 O
三 O
是 O
紧 O
盯 O
重 O
点 O
岗 O
位 O
， O
严 O
查 O
“ O
不 O
当 O
操 O
作 O
” O
设 O
立 O
配 O
送 O
人 O
员 O
“ O
黑 O
名 O
单 O
” O
制 O
度 O
， O
规 O
范 O
送 O
气 O
操 O
作 O
， O
配 O
送 O
人 O
员 O
如 O
存 O
在 O
非 O
法 O
经 O
营 O
或 O
违 O
反 O
安 O
全 O
操 O
作 O
规 O
程 O
的 O
行 O
为 O
， O
即 O
纳 O
入 O
黑 O
名 O
单 O
并 O
停 O
职 O
1 O
个 O
月 O
， O
两 O
次 O
列 O
入 O
黑 O
名 O
单 O
的 O
人 O
员 O
永 O
久 O
取 O
消 O
配 O
送 O
资 O
格 O
同 O
时 O
， O
开 O
展 O
安 O
全 O
操 O
作 O
规 O
程 O
抽 O
查 O
， O
要 O
求 O
配 O
送 O
人 O
员 O
系 O
统 O
上 O
传 O
实 O
名 O
配 O
送 O
、 O
入 O
户 O
安 O
检 O
、 O
用 O
气 O
环 O
境 O
核 O
查 O
等 O
环 O
节 O
作 O
业 O
照 O
片 O
， O
专 O
人 O
审 O
核 O
图 O
片 O
真 O
实 O
性 O
、 O
规 O
范 O
性 O
， O
一 O
经 O
发 O
现 O
不 O
合 O
规 O
操 O
作 O
即 O
纳 O
入 O
“ O
黑 O
名 O
单 O
” O
截 O
至 O
目 O
前 O
， O
排 O
查 O
发 O
现 O
不 O
合 O
规 O
操 O
作 O
配 O
送 O
人 O
员 O
3 O
名 O
， O
均 O
已 O
纳 O
入 O
黑 O
名 O
单 O
