# O
乌 B-location
兰 I-location
浩 I-location
特 I-location
微 O
提 O
醒 O
# O
【 O
冬 O
季 O
务 O
必 O
警 O
惕 O
一 O
氧 O
化 O
碳 O
中 O
毒 O
】 O
寒 O
潮 O
来 O
袭 O
， O
天 O
气 O
越 O
来 O
越 O
冷 O
， O
居 O
民 O
使 O
用 O
炭 O
火 O
、 O
煤 O
炉 O
、 O
燃 O
气 O
的 O
频 O
率 O
也 O
随 O
之 O
增 O
高 O
， O
稍 O
有 O
不 O
慎 O
， O
就 O
可 O
能 O
造 O
成 O
人 O
员 O
中 O
毒 O
、 O
窒 O
息 O
事 O
故 O
发 O
生 O
进 O
入 O
冬 O
季 O
， O
家 O
中 O
取 O
暖 O
要 O
谨 O
防 O
一 B-reason
氧 I-reason
化 I-reason
碳 I-reason
中 I-reason
毒 I-reason
戳 O
视 O
频 O
↓ O
↓ O
这 O
些 O
注 O
意 O
事 O
项 O
要 O
牢 O
记 O
！ O
应 O
急 O
管 O
理 O
部 O
的 O
微 O
博 O
视 O
频 O
# O
女 O
子 O
围 O
炉 O
煮 O
茶 O
3 O
小 O
时 O
一 O
氧 O
化 O
碳 O
中 O
毒 O
# O
. O
. O
. O
全 O
文 O
