6 B-time
月 I-time
2 I-time
1 I-time
日 I-time
， O
温 B-location
州 I-location
市 I-location
洞 I-location
头 I-location
区 I-location
开 O
展 O
了 O
燃 O
气 O
事 O
故 O
应 O
急 O
联 O
合 O
演 O
练 O
本 O
次 O
演 O
练 O
围 O
绕 O
储 O
罐 O
根 O
部 O
阀 O
门 O
泄 O
漏 O
堵 O
漏 O
、 O
钢 O
瓶 O
堵 O
漏 O
、 O
减 O
压 O
阀 O
漏 O
气 O
着 O
火 O
处 O
置 O
、 O
灭 O
火 O
器 O
灭 O
火 O
等 O
内 O
容 O
， O
主 O
要 O
训 O
练 O
操 O
作 O
者 O
处 O
置 O
突 O
发 O
事 O
件 O
的 O
熟 O
练 O
程 O
度 O
及 O
体 O
能 O
， O
确 O
保 O
将 O
事 O
故 O
控 O
制 O
在 O
萌 O
芽 O
状 O
态 O
通 O
过 O
演 O
练 O
， O
燃 O
气 O
从 O
业 O
人 O
员 O
进 O
一 O
步 O
掌 O
握 O
了 O
消 O
防 O
水 O
带 O
、 O
灭 O
火 O
器 O
等 O
消 O
防 O
器 O
材 O
的 O
使 O
用 O
方 O
法 O
以 O
及 O
燃 O
气 O
应 O
急 O
处 O
置 O
能 O
力 O
， O
提 O
高 O
了 O
操 O
作 O
熟 O
练 O
程 O
度 O
， O
加 O
强 O
了 O
抢 O
险 O
队 O
伍 O
处 O
置 O
突 O
发 O
事 O
件 O
的 O
能 O
力 O
， O
推 O
动 O
燃 O
气 O
安 O
全 O
管 O
理 O
工 O
作 O
